id,cname,continent
1,Abbeville,unitedstates
2,Acadia,unitedstates
3,Accomack,unitedstates
4,Ada,unitedstates
5,Adair,unitedstates
6,Adams,unitedstates
7,Addison,unitedstates
8,Aiken,unitedstates
9,Aitkin,unitedstates
10,Alachua,unitedstates
11,Alamance,unitedstates
12,Alameda,unitedstates
13,Alamosa,unitedstates
14,Albany,unitedstates
15,Albemarle,unitedstates
16,Alcona,unitedstates
17,Alcorn,unitedstates
18,AleutiansEast,unitedstates
19,AleutiansWest,unitedstates
20,Alexander,unitedstates
21,Alexandria,unitedstates
22,Alfalfa,unitedstates
23,Alger,unitedstates
24,Allamakee,unitedstates
25,Allegan,unitedstates
26,Allegany,unitedstates
27,Alleghany,unitedstates
28,Allegheny,unitedstates
29,Allen,unitedstates
30,Allendale,unitedstates
31,Alpena,unitedstates
32,Alpine,unitedstates
33,Amador,unitedstates
34,Amelia,unitedstates
35,Amherst,unitedstates
36,Amite,unitedstates
37,Anchorage,unitedstates
38,Anderson,unitedstates
39,Andrew,unitedstates
40,Andrews,unitedstates
41,Androscoggin,unitedstates
42,Angelina,unitedstates
43,AnneArundel,unitedstates
44,Anoka,unitedstates
45,Anson,unitedstates
46,Antelope,unitedstates
47,Antrim,unitedstates
48,Apache,unitedstates
49,Appanoose,unitedstates
50,Appling,unitedstates
51,Appomattox,unitedstates
52,Aransas,unitedstates
53,Arapahoe,unitedstates
54,Archer,unitedstates
55,Archuleta,unitedstates
56,Arenac,unitedstates
57,Arkansas,unitedstates
58,Arlington,unitedstates
59,Armstrong,unitedstates
60,Aroostook,unitedstates
61,Arthur,unitedstates
62,Ascension,unitedstates
63,Ashe,unitedstates
64,Ashland,unitedstates
65,Ashley,unitedstates
66,Ashtabula,unitedstates
67,Asotin,unitedstates
68,Assumption,unitedstates
69,Atascosa,unitedstates
70,Atchison,unitedstates
71,Athens,unitedstates
72,Atkinson,unitedstates
73,Atlantic,unitedstates
74,Atoka,unitedstates
75,Attala,unitedstates
76,Audrain,unitedstates
77,Audubon,unitedstates
78,Auglaize,unitedstates
79,Augusta,unitedstates
80,Aurora,unitedstates
81,Austin,unitedstates
82,Autauga,unitedstates
83,Avery,unitedstates
84,Avoyelles,unitedstates
85,Baca,unitedstates
86,Bacon,unitedstates
87,Bailey,unitedstates
88,Baker,unitedstates
89,Baldwin,unitedstates
90,Ballard,unitedstates
91,Baltimore,unitedstates
92,Bamberg,unitedstates
93,Bandera,unitedstates
94,Banks,unitedstates
95,Banner,unitedstates
96,Bannock,unitedstates
97,Baraga,unitedstates
98,Barber,unitedstates
99,Barbour,unitedstates
100,Barnes,unitedstates
101,Barnstable,unitedstates
102,Barnwell,unitedstates
103,Barren,unitedstates
104,Barron,unitedstates
105,Barrow,unitedstates
106,Barry,unitedstates
107,Bartholomew,unitedstates
108,Barton,unitedstates
109,Bartow,unitedstates
110,Bastrop,unitedstates
111,Bates,unitedstates
112,Bath,unitedstates
113,Baxter,unitedstates
114,Bay,unitedstates
115,Bayfield,unitedstates
116,Baylor,unitedstates
117,Beadle,unitedstates
118,BearLake,unitedstates
119,Beaufort,unitedstates
120,Beauregard,unitedstates
121,Beaver,unitedstates
122,Beaverhead,unitedstates
123,Becker,unitedstates
124,Beckham,unitedstates
125,Bedford,unitedstates
126,Bee,unitedstates
127,Belknap,unitedstates
128,Bell,unitedstates
129,Belmont,unitedstates
130,Beltrami,unitedstates
131,BenHill,unitedstates
132,Benewah,unitedstates
133,Bennett,unitedstates
134,Bennington,unitedstates
135,Benson,unitedstates
136,Bent,unitedstates
137,Benton,unitedstates
138,Benzie,unitedstates
139,Bergen,unitedstates
140,Berkeley,unitedstates
141,Berks,unitedstates
142,Berkshire,unitedstates
143,Bernalillo,unitedstates
144,Berrien,unitedstates
145,Bertie,unitedstates
146,Bethel,unitedstates
147,Bexar,unitedstates
148,Bibb,unitedstates
149,Bienville,unitedstates
150,BigHorn,unitedstates
151,BigStone,unitedstates
152,Billings,unitedstates
153,Bingham,unitedstates
154,BlackHawk,unitedstates
155,Blackford,unitedstates
156,Bladen,unitedstates
157,Blaine,unitedstates
158,Blair,unitedstates
159,Blanco,unitedstates
160,Bland,unitedstates
161,Bleckley,unitedstates
162,Bledsoe,unitedstates
163,Blount,unitedstates
164,BlueEarth,unitedstates
165,Boise,unitedstates
166,Bolivar,unitedstates
167,Bollinger,unitedstates
168,BonHomme,unitedstates
169,Bond,unitedstates
170,Bonner,unitedstates
171,Bonneville,unitedstates
172,Boone,unitedstates
173,Borden,unitedstates
174,Bosque,unitedstates
175,Bossier,unitedstates
176,Botetourt,unitedstates
177,Bottineau,unitedstates
178,Boulder,unitedstates
179,Boundary,unitedstates
180,Bourbon,unitedstates
181,Bowie,unitedstates
182,Bowman,unitedstates
183,BoxButte,unitedstates
184,BoxElder,unitedstates
185,Boyd,unitedstates
186,Boyle,unitedstates
187,Bracken,unitedstates
188,Bradford,unitedstates
189,Bradley,unitedstates
190,Branch,unitedstates
191,Brantley,unitedstates
192,Braxton,unitedstates
193,Brazoria,unitedstates
194,Brazos,unitedstates
195,Breathitt,unitedstates
196,Breckinridge,unitedstates
197,Bremer,unitedstates
198,Brevard,unitedstates
199,Brewster,unitedstates
200,Briscoe,unitedstates
201,Bristol,unitedstates
202,BristolBay,unitedstates
203,Broadwater,unitedstates
204,Bronx,unitedstates
205,Brooke,unitedstates
206,Brookings,unitedstates
207,Brooks,unitedstates
208,Broome,unitedstates
209,Broomfield,unitedstates
210,Broward,unitedstates
211,Brown,unitedstates
212,Brule,unitedstates
213,Brunswick,unitedstates
214,Bryan,unitedstates
215,Buchanan,unitedstates
216,Buckingham,unitedstates
217,Bucks,unitedstates
218,BuenaVista,unitedstates
219,Buffalo,unitedstates
220,Bullitt,unitedstates
221,Bulloch,unitedstates
222,Bullock,unitedstates
223,Buncombe,unitedstates
224,Bureau,unitedstates
225,Burke,unitedstates
226,Burleigh,unitedstates
227,Burleson,unitedstates
228,Burlington,unitedstates
229,Burnet,unitedstates
230,Burnett,unitedstates
231,Burt,unitedstates
232,Butler,unitedstates
233,Butte,unitedstates
234,Butts,unitedstates
235,Cabarrus,unitedstates
236,Cabell,unitedstates
237,Cache,unitedstates
238,Caddo,unitedstates
239,Calaveras,unitedstates
240,Calcasieu,unitedstates
241,Caldwell,unitedstates
242,Caledonia,unitedstates
243,Calhoun,unitedstates
244,Callahan,unitedstates
245,Callaway,unitedstates
246,Calloway,unitedstates
247,Calumet,unitedstates
248,Calvert,unitedstates
249,Camas,unitedstates
250,Cambria,unitedstates
251,Camden,unitedstates
252,Cameron,unitedstates
253,Camp,unitedstates
254,Campbell,unitedstates
255,Canadian,unitedstates
256,Candler,unitedstates
257,Cannon,unitedstates
258,Canyon,unitedstates
259,CapeGirardeau,unitedstates
260,CapeMay,unitedstates
261,Carbon,unitedstates
262,Caribou,unitedstates
263,Carlisle,unitedstates
264,Carlton,unitedstates
265,Caroline,unitedstates
266,Carroll,unitedstates
267,Carson,unitedstates
268,CarsonCity,unitedstates
269,Carter,unitedstates
270,Carteret,unitedstates
271,Carver,unitedstates
272,Cascade,unitedstates
273,Casey,unitedstates
274,Cass,unitedstates
275,Cassia,unitedstates
276,Castro,unitedstates
277,Caswell,unitedstates
278,Catahoula,unitedstates
279,Catawba,unitedstates
280,Catoosa,unitedstates
281,Catron,unitedstates
282,Cattaraugus,unitedstates
283,Cavalier,unitedstates
284,Cayuga,unitedstates
285,Cecil,unitedstates
286,Cedar,unitedstates
287,Centre,unitedstates
288,CerroGordo,unitedstates
289,Chaffee,unitedstates
290,Chambers,unitedstates
291,Champaign,unitedstates
292,Chariton,unitedstates
293,Charles,unitedstates
294,CharlesCity,unitedstates
295,CharlesMix,unitedstates
296,Charleston,unitedstates
297,Charlevoix,unitedstates
298,Charlotte,unitedstates
299,Charlottesville,unitedstates
300,Charlton,unitedstates
301,Chase,unitedstates
302,Chatham,unitedstates
303,Chattahoochee,unitedstates
304,Chattooga,unitedstates
305,Chautauqua,unitedstates
306,Chaves,unitedstates
307,Cheatham,unitedstates
308,Cheboygan,unitedstates
309,Chelan,unitedstates
310,Chemung,unitedstates
311,Chenango,unitedstates
312,Cherokee,unitedstates
313,Cherry,unitedstates
314,Chesapeake,unitedstates
315,Cheshire,unitedstates
316,Chester,unitedstates
317,Chesterfield,unitedstates
318,Cheyenne,unitedstates
319,Chickasaw,unitedstates
320,Chicot,unitedstates
321,Childress,unitedstates
322,Chilton,unitedstates
323,Chippewa,unitedstates
324,Chisago,unitedstates
325,Chittenden,unitedstates
326,Choctaw,unitedstates
327,Chouteau,unitedstates
328,Chowan,unitedstates
329,Christian,unitedstates
330,Churchill,unitedstates
331,Cibola,unitedstates
332,Cimarron,unitedstates
333,Citrus,unitedstates
334,Clackamas,unitedstates
335,Claiborne,unitedstates
336,Clallam,unitedstates
337,Clare,unitedstates
338,Clarendon,unitedstates
339,Clarion,unitedstates
340,Clark,unitedstates
341,Clarke,unitedstates
342,Clatsop,unitedstates
343,Clay,unitedstates
344,Clayton,unitedstates
345,ClearCreek,unitedstates
346,Clearfield,unitedstates
347,Clearwater,unitedstates
348,Cleburne,unitedstates
349,Clermont,unitedstates
350,Cleveland,unitedstates
351,CliftonForgeCity,unitedstates
352,Clinch,unitedstates
353,Clinton,unitedstates
354,Cloud,unitedstates
355,Coahoma,unitedstates
356,Coal,unitedstates
357,Cobb,unitedstates
358,Cochise,unitedstates
359,Cochran,unitedstates
360,Cocke,unitedstates
361,Coconino,unitedstates
362,Codington,unitedstates
363,Coffee,unitedstates
364,Coffey,unitedstates
365,Coke,unitedstates
366,Colbert,unitedstates
367,Cole,unitedstates
368,Coleman,unitedstates
369,Coles,unitedstates
370,Colfax,unitedstates
371,Colleton,unitedstates
372,Collier,unitedstates
373,Collin,unitedstates
374,Collingsworth,unitedstates
375,ColonialHeights,unitedstates
376,Colorado,unitedstates
377,Colquitt,unitedstates
378,Columbia,unitedstates
379,Columbiana,unitedstates
380,Columbus,unitedstates
381,Colusa,unitedstates
382,Comal,unitedstates
383,Comanche,unitedstates
384,Concho,unitedstates
385,Concordia,unitedstates
386,Conecuh,unitedstates
387,Conejos,unitedstates
388,ContraCosta,unitedstates
389,Converse,unitedstates
390,Conway,unitedstates
391,Cook,unitedstates
392,Cooke,unitedstates
393,Cooper,unitedstates
394,Coos,unitedstates
395,Coosa,unitedstates
396,Copiah,unitedstates
397,Corson,unitedstates
398,Cortland,unitedstates
399,Coryell,unitedstates
400,Coshocton,unitedstates
401,Costilla,unitedstates
402,Cottle,unitedstates
403,Cotton,unitedstates
404,Cottonwood,unitedstates
405,Covington,unitedstates
406,Coweta,unitedstates
407,Cowley,unitedstates
408,Cowlitz,unitedstates
409,Craig,unitedstates
410,Craighead,unitedstates
411,Crane,unitedstates
412,Craven,unitedstates
413,Crawford,unitedstates
414,Creek,unitedstates
415,Crenshaw,unitedstates
416,Crisp,unitedstates
417,Crittenden,unitedstates
418,Crockett,unitedstates
419,Crook,unitedstates
420,Crosby,unitedstates
421,Cross,unitedstates
422,CrowWing,unitedstates
423,Crowley,unitedstates
424,Culberson,unitedstates
425,Cullman,unitedstates
426,Culpeper,unitedstates
427,Cumberland,unitedstates
428,Cuming,unitedstates
429,Currituck,unitedstates
430,Curry,unitedstates
431,Custer,unitedstates
432,Cuyahoga,unitedstates
433,Dade,unitedstates
434,Daggett,unitedstates
435,Dakota,unitedstates
436,Dale,unitedstates
437,Dallam,unitedstates
438,Dallas,unitedstates
439,Dane,unitedstates
440,Daniels,unitedstates
441,Danville,unitedstates
442,Dare,unitedstates
443,Darke,unitedstates
444,Darlington,unitedstates
445,Dauphin,unitedstates
446,Davidson,unitedstates
447,Davie,unitedstates
448,Daviess,unitedstates
449,Davis,unitedstates
450,Davison,unitedstates
451,Dawes,unitedstates
452,Dawson,unitedstates
453,Day,unitedstates
454,DeKalb,unitedstates
455,DeSoto,unitedstates
456,DeWitt,unitedstates
457,DeafSmith,unitedstates
458,Dearborn,unitedstates
459,Debaca,unitedstates
460,Decatur,unitedstates
461,DeerLodge,unitedstates
462,Defiance,unitedstates
463,DeKalb,unitedstates
464,DelNorte,unitedstates
465,Delaware,unitedstates
466,Delta,unitedstates
467,Denali,unitedstates
468,Dent,unitedstates
469,Denton,unitedstates
470,Denver,unitedstates
471,DesMoines,unitedstates
472,Deschutes,unitedstates
473,Desha,unitedstates
474,Desoto,unitedstates
475,Deuel,unitedstates
476,Dewey,unitedstates
477,Dewitt,unitedstates
478,Dickens,unitedstates
479,Dickenson,unitedstates
480,Dickey,unitedstates
481,Dickinson,unitedstates
482,Dickson,unitedstates
483,Dillingham,unitedstates
484,Dillon,unitedstates
485,Dimmit,unitedstates
486,Dinwiddie,unitedstates
487,DistrictofColumbia,unitedstates
488,Divide,unitedstates
489,Dixie,unitedstates
490,Dixon,unitedstates
491,Doddridge,unitedstates
492,Dodge,unitedstates
493,Dolores,unitedstates
494,DonaAna,unitedstates
495,Doniphan,unitedstates
496,Donley,unitedstates
497,Dooly,unitedstates
498,Door,unitedstates
499,Dorchester,unitedstates
500,Dougherty,unitedstates
501,Douglas,unitedstates
502,Drew,unitedstates
503,Dubois,unitedstates
504,Dubuque,unitedstates
505,Duchesne,unitedstates
506,Dukes,unitedstates
507,Dundy,unitedstates
508,Dunklin,unitedstates
509,Dunn,unitedstates
510,Dupage,unitedstates
511,Duplin,unitedstates
512,Durham,unitedstates
513,Dutchess,unitedstates
514,Duval,unitedstates
515,Dyer,unitedstates
516,Eagle,unitedstates
517,Early,unitedstates
518,EastBatonRouge,unitedstates
519,EastCarroll,unitedstates
520,EastFeliciana,unitedstates
521,Eastland,unitedstates
522,Eaton,unitedstates
523,EauClaire,unitedstates
524,Echols,unitedstates
525,Ector,unitedstates
526,Eddy,unitedstates
527,Edgar,unitedstates
528,Edgecombe,unitedstates
529,Edgefield,unitedstates
530,Edmonson,unitedstates
531,Edmunds,unitedstates
532,Edwards,unitedstates
533,Effingham,unitedstates
534,ElDorado,unitedstates
535,ElPaso,unitedstates
536,Elbert,unitedstates
537,Elk,unitedstates
538,Elkhart,unitedstates
539,Elko,unitedstates
540,Elliott,unitedstates
541,Ellis,unitedstates
542,Ellsworth,unitedstates
543,Elmore,unitedstates
544,Emanuel,unitedstates
545,Emery,unitedstates
546,Emmet,unitedstates
547,Emmons,unitedstates
548,Emporia,unitedstates
549,Erath,unitedstates
550,Erie,unitedstates
551,Escambia,unitedstates
552,Esmeralda,unitedstates
553,Essex,unitedstates
554,Estill,unitedstates
555,Etowah,unitedstates
556,Eureka,unitedstates
557,Evangeline,unitedstates
558,Evans,unitedstates
559,FairbanksNorthStar,unitedstates
560,Fairfax,unitedstates
561,Fairfield,unitedstates
562,FallRiver,unitedstates
563,Fallon,unitedstates
564,Falls,unitedstates
565,FallsChurch,unitedstates
566,Fannin,unitedstates
567,Faribault,unitedstates
568,Faulk,unitedstates
569,Faulkner,unitedstates
570,Fauquier,unitedstates
571,Fayette,unitedstates
572,Fentress,unitedstates
573,Fergus,unitedstates
574,Ferry,unitedstates
575,Fillmore,unitedstates
576,Finney,unitedstates
577,Fisher,unitedstates
578,Flagler,unitedstates
579,Flathead,unitedstates
580,Fleming,unitedstates
581,Florence,unitedstates
582,Floyd,unitedstates
583,Fluvanna,unitedstates
584,Foard,unitedstates
585,FondduLac,unitedstates
586,Ford,unitedstates
587,Forest,unitedstates
588,Forrest,unitedstates
589,Forsyth,unitedstates
590,FortBend,unitedstates
591,Foster,unitedstates
592,Fountain,unitedstates
593,Franklin,unitedstates
594,Frederick,unitedstates
595,Fredericksburg,unitedstates
596,Freeborn,unitedstates
597,Freestone,unitedstates
598,Fremont,unitedstates
599,Fresno,unitedstates
600,Frio,unitedstates
601,Frontier,unitedstates
602,Fulton,unitedstates
603,Furnas,unitedstates
604,Gadsden,unitedstates
605,Gage,unitedstates
606,Gaines,unitedstates
607,Galax,unitedstates
608,Gallatin,unitedstates
609,Gallia,unitedstates
610,Galveston,unitedstates
611,Garden,unitedstates
612,Garfield,unitedstates
613,Garland,unitedstates
614,Garrard,unitedstates
615,Garrett,unitedstates
616,Garvin,unitedstates
617,Garza,unitedstates
618,Gasconade,unitedstates
619,Gaston,unitedstates
620,Gates,unitedstates
621,Geary,unitedstates
622,Geauga,unitedstates
623,Gem,unitedstates
624,Genesee,unitedstates
625,Geneva,unitedstates
626,Gentry,unitedstates
627,George,unitedstates
628,Georgetown,unitedstates
629,Gibson,unitedstates
630,Gila,unitedstates
631,Gilchrist,unitedstates
632,Giles,unitedstates
633,Gillespie,unitedstates
634,Gilliam,unitedstates
635,Gilmer,unitedstates
636,Gilpin,unitedstates
637,Glacier,unitedstates
638,Glades,unitedstates
639,Gladwin,unitedstates
640,Glascock,unitedstates
641,Glasscock,unitedstates
642,Glenn,unitedstates
643,Gloucester,unitedstates
644,Glynn,unitedstates
645,Gogebic,unitedstates
646,GoldenValley,unitedstates
647,Goliad,unitedstates
648,Gonzales,unitedstates
649,Goochland,unitedstates
650,Goodhue,unitedstates
651,Gooding,unitedstates
652,Gordon,unitedstates
653,Goshen,unitedstates
654,Gosper,unitedstates
655,Gove,unitedstates
656,Grady,unitedstates
657,Grafton,unitedstates
658,Graham,unitedstates
659,Grainger,unitedstates
660,Grand,unitedstates
661,GrandForks,unitedstates
662,GrandIsle,unitedstates
663,GrandTraverse,unitedstates
664,Granite,unitedstates
665,Grant,unitedstates
666,Granville,unitedstates
667,Gratiot,unitedstates
668,Graves,unitedstates
669,Gray,unitedstates
670,GraysHarbor,unitedstates
671,Grayson,unitedstates
672,Greeley,unitedstates
673,Green,unitedstates
674,GreenLake,unitedstates
675,Greenbrier,unitedstates
676,Greene,unitedstates
677,Greenlee,unitedstates
678,Greensville,unitedstates
679,Greenup,unitedstates
680,Greenville,unitedstates
681,Greenwood,unitedstates
682,Greer,unitedstates
683,Gregg,unitedstates
684,Gregory,unitedstates
685,Grenada,unitedstates
686,Griggs,unitedstates
687,Grimes,unitedstates
688,Grundy,unitedstates
689,Guadalupe,unitedstates
690,Guernsey,unitedstates
691,Guilford,unitedstates
692,Gulf,unitedstates
693,Gunnison,unitedstates
694,Guthrie,unitedstates
695,Gwinnett,unitedstates
696,Haakon,unitedstates
